current_name,type,current_problem,proposed_name,proposed_policy_fields,migration_risk,classification,priority,notes
/internal/product-ledger/approval/create-workspace-test-jail-handoff-draft,route,Workspace jail policy encoded in route,/internal/product-ledger/workspace-draft,"scope=TestJail; mutability=CreateOnly",High,alias_future,High,Do not broaden jail scope
/internal/product-ledger/approval/create-user-workspace-allowlisted-handoff-draft,route,Allowlist policy encoded in route,/internal/product-ledger/workspace-draft,"scope=WorkspaceAllowlisted; mutability=CreateOnly",High,alias_future,High,Keep allowlist mandatory
/internal/product-ledger/operator-surface/create-latest-state-snapshot,route,Role and action encoded in route,/internal/product-ledger/evidence/latest-state,"role=Snapshot; action=create",Medium,alias_future,Medium,No current change
/internal/product-ledger/operator-surface/create-latest-state-manifest,route,Role and action encoded in route,/internal/product-ledger/evidence/latest-state,"role=Manifest; action=create",Medium,alias_future,Medium,No current change
/internal/product-ledger/operator-surface/durable-latest-state-reader-candidate,route,Reader candidate status encoded in route,/internal/product-ledger/evidence/latest-state,"role=ReaderCandidate; mode=validate; authority=Candidate",High,alias_future,High,Must not become active precedence
/internal/product-ledger/operator-surface/durable-latest-state-auxiliary-evidence,route,Auxiliary status encoded in route,/internal/product-ledger/evidence/latest-state,"role=Auxiliary; authority=None; precedence=None",High,alias_future,High,Must remain non-authority
DurableAuditTrailAppendOnlyMinimalSafetyTests,test,Test file repeats source status chain,EvidenceLedgerSafetyTests,"mutability=AppendOnly; environment=FixtureSafe",Medium,tier_future,Medium,Retain coverage before rename
DurableAuditTrailAppendOnlyCandidateSafetyTests,test,Test file repeats source status chain,EvidenceLedgerCandidateSafetyTests,"authority=Candidate; mutability=AppendOnly",Medium,tier_future,Medium,Can become required or extended tier
ProductLedgerLocalApprovalExecutionRouteStaticScanTests,test,Static scan specific to route family,ProductLedgerStaticNoEnableScanTests,"surface=Route; capability=Action",High,merge,High,Centralize but keep no-enable coverage
ProductLedgerLocalApprovalExecutionNegativeGuardTests,test,Negative guard duplicated by feature,ProductLedgerGuardPolicyTests,"capability=ApprovedAction; safetyLevel=FailClosed",High,merge,High,Do not drop negative coverage
ProductLedgerLocalApprovalExecutionCandidateRecipeTests,test,Recipe test repeats candidate naming,ApprovedActionCandidateRecipeTests,"authority=Candidate; environment=FixtureSafe",Medium,tier_future,Medium,Tier after test governance
ProductLedgerLocalOperatorSurfaceLatestStateSnapshotBoundaryTests,test,Boundary test repeats latest-state role,LatestStateEvidenceBoundaryTests,"evidenceRole=Snapshot",Medium,merge,Medium,Merge with manifest/aux/reader cases later
ProductLedgerLocalDurableLatestStateReaderCandidateValidatorTests,test,Test name encodes reader candidate policy,LatestStateEvidenceValidatorTests,"evidenceRole=ReaderCandidate; authority=Candidate",High,merge,High,Retain authority assertion
ProductLedgerLocalDurableLatestStateAuxiliaryEvidencePresenterTests,test,Test name encodes non-authority policy,LatestStateEvidencePresenterTests,"evidenceRole=Auxiliary; authority=None; precedence=None",High,merge,High,Retain non-authority assertion
nodal-os-durable-latest-state-auxiliary-evidence-not-precedence-not-authority-*.md,docs,Doc titles mirror full policy suffix,latest-state-evidence-auxiliary.md,"evidenceRole=Auxiliary; authority=None; precedence=None",Low,archive_index_future,Low,Index before archive
nodal-os-durable-latest-state-reader-candidate-not-authority-*.md,docs,Doc titles mirror candidate authority suffix,latest-state-evidence-reader-candidate.md,"evidenceRole=ReaderCandidate; authority=Candidate",Low,archive_index_future,Low,Index before archive
external-audit-read-only micro-block docs,docs,Audit mode repeated in every filename,audit-log entry,"mode=ExternalAuditReadOnly; scope=Block",Low,compact_future,Medium,Use rolling log unless reusable packet needed
static no-enable guard docs,docs,Negative capability repeated across docs,guard-policy-static-scan.md,"safetyLevel=FailClosed; antiCapabilities=list",Low,compact_future,Medium,Keep one canonical guard policy
